Category,Company,City,Phone,Website,Decora fit
Home-decor retailer,Homes Scope,"908, Jumeirah bay 3, X Cluster, Jumeirah Lake Towers",+97144427365,,all families
Home-decor retailer,Honest Masters Decor LLC,Dubai,+97145898785,,all families
Home-decor retailer,HOX Creative Solutions,"House of Exhibitions, 3 18 A Street, Al Quoz Industrial Area 4",,,all families
Home-decor retailer,Hues & Shades Interior Decoration LLC,Al Qusais,+97142568825,,all families
Home-decor retailer,Hyssna International LLC,"Shop 8, Umm Hurair Bldg, Zabeel Rd, Karama",+97143359833,,all families
Home-decor retailer,I B A House Interior Solutions,"Al Khabesi Area, Deira",+97142663329,,all families
Home-decor retailer,I Creative Interiors LLC,,+97144273730,,all families
Home-decor retailer,I Design Interiors LLC,"Business Bay,Silver Tower,Office 12-O7",+97144356225,,all families
Home-decor retailer,I F A A General Maintenance and Decor LLC,"Near INMA, Umm Ramool, Rashidiya",+97142273046,,all families
Home-decor retailer,I Space Contracting LLC,Al Qusais Indl 4,+97142639442,,all families
Home-decor retailer,Ice Light Interiors,"D9, G/F, Al Khazna Bldg, Karama",+97143885524,,all families
Home-decor retailer,Identity Decor LLC,"Near Dynatrade, Nad Al Hamar",+97142839031,,all families
Home-decor retailer,Image Interior Decoration LLC,"Al Quoz 3, Near Al Quoz Mall",+97143403673,,all families
Home-decor retailer,Imagine Interior Decoration LLC,Al Quoz Indl Area 4,+97143236664,,all families
Home-decor retailer,Impact Interior Designs LLC,"3rd I/Change, Al Quoz",+97143389040,,all families
Home-decor retailer,Impressions Decor LLC,,+971504610505,,all families
Home-decor retailer,In Space Fit Out LLC,"319, 3rd Floor, Al Zarooni Bldg, Al Qusais",+97142578160,,all families
Home-decor retailer,Index Interiors LLC,"Office 12, V 20, Russia Cluster, Intl City",+97143636745,,all families
Home-decor retailer,Indoors Furniture and Interior Design,"Plot 5, Opp Porsche S/Room, M 13, Mussafah Indl Area",+97125552784,,all families
Home-decor retailer,Indoors LLC,"405, Rostamani Bldg, Above Suzuki Showroom, King Faizal",+97165736767,,all families
Home-decor retailer,Infinity Concepts,"Al Khabaisi Area, Hor Al Anz",+97142979733,,all families
Home-decor retailer,Inner Space Interiors LLC,"401, Noor Islamic Bank Bldg, Corniche",+97165754195,,all families
Home-decor retailer,Innov8 Group,Dubai,,,all families
Home-decor retailer,Innovazion Interior,"Zabeel Rd, Karama",+97143364377,,all families
Home-decor retailer,Innovs Interiors LLC,Al Quoz 4,+97143219282,,all families
Home-decor retailer,Insignia Design and Decoration,"14th Flr, Old Rotana Bldg, Khalidiya St",+97126814149,,all families
Home-decor retailer,Inspiration Concept Interior Design LLC,,+97142942416,,all families
Home-decor retailer,Inspiration Interiors,Hamdan str,+97126770051,,all families
Home-decor retailer,Intel Space Interior Design,"2801, Al Attar Tower, Sh Zayed Rd",+97143218330,,all families
Home-decor retailer,Inter Decora LLC,Sharjah,+97167434570,,all families
Home-decor retailer,Interior Selections Furniture Factory LLC,"Warehouse # 3 & 4, E77, Lahbab Road, Jebel Ali",+97148162100,,all families
Home-decor retailer,Interiors,Al Salam St,+97126797040,,all families
Home-decor retailer,Interiors International Industries LLC,Al Barsha I/Change 4,+97143400055,,all families
Home-decor retailer,International Art,"G Flr, Spectrum Bldg, Near Lamcy Plaza, Karama",+97143358877,,all families
Home-decor retailer,Interspace Interiors LLC,"201, 2nd Floor, Lifco SM Bldg, Near Emirates Plaza Hotel, Mina Rd",+97126765430,,all families
Home-decor retailer,Intex Universal Limited,"M-107, Al Diyafa Shopping Centre, Al Diyafa Rd",+97143450337,,all families
Home-decor retailer,Intuition Interiors LLC,"Al Khasimi Bldg, Deira",+97142505930,,all families
Home-decor retailer,IR Design,"216, Bldg 8, DMC",+97143625280,,all families
Home-decor retailer,Ishtar Decor LLC,"Near Municipality Used Car Complex, Al Aweer Indl Area",+97143338111,,all families
Home-decor retailer,Isker Group,"Office 6, Abdelrahim Hussain Mohd Al Sahlawi Bldg, St 10, Deira",+97180047537,,all families
Home-decor retailer,ISRA Technical & Cleaning Service LLC,Deira,+97142599983,,all families
Home-decor retailer,J C Maclean International FZCO,"Near R/A 6, Jebel Ali Free Zone",+97148811811,,all families
Home-decor retailer,J Walt Interiors and Contracting LLC,"708, Lake Central Tower, Marasi Dr, Business Bay",,,all families
Home-decor retailer,Jadore Interior,"Near Al Tawar Centre, Al Qusais",+97142563030,,all families
Home-decor retailer,Jalbout Carpentry Exhibitions and Interiors,Al Quoz 2,+97143237158,,all families
Home-decor retailer,Jasco International F.Z.C.,"C4-3, P2-11, 12, 13 & 14, SAIF Zone",+97165571789,,all families
Home-decor retailer,Jassim Decor (Decorative Painting Div),"Near Central Hospital, Airport Rd",+97126342829,,all families
Home-decor retailer,Jawabco Contracting LLC,"Office 110, Abdulla Al Fahed Bldg 3, Damascus Rd, Al Qusais",+97142568842,,all families
Home-decor retailer,Jeanine,Deira,+97142525805,,all families
Home-decor retailer,Jeet Gulf Technical Works,Al Qusais,+97142587800,,all families
Home-decor retailer,Joga Ram Furniture Industry LLC,"Street 22, Al Quoz Indl Area 2",+97143881999,,all families
Home-decor retailer,Joping Technical Works,"Warehouse 4, Al Quoz Indl Area 4",+97143400731,,all families
Home-decor retailer,Joud Line Decor Work,Al Jurf,+971505704433,,all families
Home-decor retailer,Jumeirah Carpenter,Al Quoz Industrial Area 1,+97143883231,,all families
Home-decor retailer,Just Interiors Cont,,+97165349311,,all families
Home-decor retailer,JVK Carpentry LLC,Al Quoz Indl Area 4,+97143212941,,all families
Home-decor retailer,JW1 International (FZE),Dubai,+97146091239,,all families
Home-decor retailer,Kadhem Hassan Carpentry,Al Qusais Indl Area 1,+97142581565,,all families
Home-decor retailer,Kaian Interior Design,"Damascus St, Al Qusais",+97142382220,,all families
Home-decor retailer,Kairali Furniture Co LLC,"Kairali Furniture Bldg, Madinat Zayed",+97126348952,,all families
Home-decor retailer,Karani Construction LLC,"3rd I/Change, Al Quoz",+97143402006,,all families
Home-decor retailer,Karani Interior Decorators,"Bhnd Toyota S/Room, Al Quoz Indl Area",+97143390900,,all families
Home-decor retailer,Karmen Decor Co,Muroor Rd,,,all families
Home-decor retailer,Karters Interior Decoration,,+97143794562,,all families
Home-decor retailer,Keshvala Technical Works LLC,Dubai,+97143540789,,all families
Home-decor retailer,Kev Interiors,Dubai,+97143936125,,all families
Home-decor retailer,Khalifa Ahmed Rashid Furniture and Decor Factory (KARF),"Bhnd Al Khayam Bakery, Al Qusais Indl 3",+97142672111,,all families
Home-decor retailer,Khansaheb Joinery and Interior,"Near Skyline College, Geco R/A, Indl Area 5",+97165340479,,all families
Home-decor retailer,Khawar Meyana JLT,JLT,+97144214389,,all families
Home-decor retailer,King Flower Curtains Establishment,"Near Post Office, Madinat Zayed",+97126312615,,all families
Home-decor retailer,Kingsmen Middle East LLC,Al Quoz,+97143389340,,all families
Home-decor retailer,KN Interior Designs LLC,Dubai,+97143978599,,all families
Home-decor retailer,Kottoor International LLC,Ras Al Khor Industrial Area 2,+971504693351,,all families
Home-decor retailer,La Vita Interiors,,+97143883100,,all families
Home-decor retailer,Lamar Interiors LLC,Al Quoz 1,+97143469099,,all families
Home-decor retailer,Landmark Decor,,+97165643502,,all families
Home-decor retailer,Lanees Furniture and Decor LLC,Al Quoz Indl Area,+97143405636,,all families
Home-decor retailer,Laspinas Building Material Trading LLC,Al Quoz Indl Area 1,+97143477890,,all families
Home-decor retailer,Laspinas Interiors LLC,Al Quoz Indl Area 1,+97143477877,,all families
Home-decor retailer,Latitude Design Fitout LLC,"Office 143, Hamsah Building A, Near Anzar Gallery, Al Karama",+97142288292,,all families
Home-decor retailer,Lawrence Interior Design Works,International City,+971509184218,,all families
Home-decor retailer,Laylak Decor and Furniture,Muweilah,+97165683703,,all families
Home-decor retailer,Leader Furniture and Joinery Craftsmen Limited,Al Aweer Indl Area,,,all families
Home-decor retailer,Legend Carpentry Workshop LLC,Al Jurf,+97167484243,,all families
Home-decor retailer,Legno Design LLC,Jurf Industrial Area 2,+971507292818,,all families
Home-decor retailer,Leid Technical Works LLC,Dubai,+97148850885,,all families
Home-decor retailer,Libra General Maintenance and Decor,"S-8, Backside of Nakheel Centre, Deira",+97142219227,,all families
Home-decor retailer,Life Style Interior Design,"Retail No 8, U-Bora Towers, Burj Khalifa Area, Business Bay",+97144541064,,all families
Home-decor retailer,Light Concept,"Office M-4, Pizza Hut Building, Muroor Road",+97124484451,,all families
Home-decor retailer,Line One Interiors,Al Qusais,+97142581818,,all families
Home-decor retailer,Linea Verde,"Between 2nd & 3rd I/Change, Sh Zayed Rd, Al Quoz",+97143383553,,all families
Home-decor retailer,Link First Furniture,"G F, Al Mansouri Bldg, Bhnd Peugeot S/Room, Salam St",+97126452883,,all families
Home-decor retailer,Lintal LLC,Al Quoz 4,+97143411333,,all families
Home-decor retailer,Lion First Facilities Management,"304, Clover Bay Bldg, Al Abraj St, Business Bay",+97142765910,,all families
Home-decor retailer,Livewel Interiors LLC,,+97143388044,,all families
Home-decor retailer,Liwan Decor,khalidiya,+97126223155,,all families
Home-decor retailer,Loft Interior Decoration LLC,"102, Spectro Bldg, Salahuddin Rd, Deira",+97142680959,,all families
Home-decor retailer,Lujo Design and Decor,"Office Number 5, Khalifa Bin Zayed The First Street",+971566093022,,all families
Home-decor retailer,Luster Interiors LLC,,+97143466101,,all families
Home-decor retailer,M B H Interiors,"1st Flr, Budget Rent A Car Bldg, Al Nasir St",+97126340650,,all families
Home-decor retailer,M H I Design LLC,,+97144470549,,all families
Home-decor retailer,M K I Interior And Design LLC,"6, Mohd Khamis Bin Hendi Bldg, Near Al Karama Muncipality, Karama",+97143796543,,all families
Home-decor retailer,M M S Technical Services LLC,,,,all families
Home-decor retailer,Magic Colour Interior Decoration LLC,"LOB -39, WareHouse-1, Block No.- 38, Behind Emirates Glass, Al Quoz Ind. Area # 4",+97143410060,,all families
Home-decor retailer,Magic Colour Technical Services LLC,"Bhnd Emirates Glass, Al Quoz Indl Area 4",+97143410060,,all families
Home-decor retailer,Magic Point Interiors,,+971588930238,,all families
Home-decor retailer,Magnus Interiors LLC,Jebel Ali,+971552887962,,all families
Home-decor retailer,Mahmayi Office Furniture LLC,"Office 201 - 2nd Floor, Hamsah Building - Block A, Al Karama",+97142567481,,all families
Home-decor retailer,Mahmood Tahlak Carpentry Works,"Near New Grand Mall, Al Quoz 2",+97143405487,,all families
Home-decor retailer,Mainline Interior LLC,"Near Aati S/Room, Zabeel Rd, Karama",+97143370516,,all families
Home-decor retailer,Maksquare,"101, Makeen Bldg, Near JVC, Airport Rd, Al Garhoud",+97142999660,,all families
Home-decor retailer,Makstylo Interiors LLC,"Warehouse 4, High Bay Building, Silicon Oasis",+97143332388,,all families
Home-decor retailer,Mapco Specialized General Contracting,"1701, Micco (Al Yasat Tower), Electra St",+97126435536,,all families
Home-decor retailer,Maral Interiors,,+97142598999,,all families
Home-decor retailer,Marconi Inter-Design Company LLC,"1st Floor, Street 14, Bin Building, Hamdan street",+97126788627,,all families
Home-decor retailer,Marquis Decoration,"Airport Rd, Al Garhoud",+97142829001,,all families
Home-decor retailer,Marshal Decor Trading,Kalba,+97192777062,,all families
Home-decor retailer,Maruti Technical Service LLC,"Opp National Taxi, Al Quoz Indl Area 3",+97143401749,,all families
Home-decor retailer,Maruti Wood Works LLC,"Warehouse 3, Bhnd Home Centre Logistics, Al Quoz",+97145297814,,all families
Home-decor retailer,Masandam Tower General Maintenance LLC,Al Quoz Indl Area 3,+97143403755,,all families
Home-decor retailer,Matharu Carpentry,"Near Aladdin R/A, Ras Al Khor",+97143338723,,all families
Home-decor retailer,Max Interiors LLC,Al Quoz,+97143412347,,all families
Home-decor retailer,Medi General Maint and Decoration LLC,"104, Golf Park Bldg, Al Garhoud",,,all families
Home-decor retailer,MEMCo Middle East,Almanzar Centre M/5,+97142545953,,all families
Home-decor retailer,Merrit Interiors,,+97143964967,,all families
Home-decor retailer,Metallic Equipment Co,Baniyas Najda Street,+97126344764,,all families
Home-decor retailer,Meter Square Interiors LLC,,+97165398189,,all families
Home-decor retailer,MGM Furniture & Interiors,"Office 30, Asteco Warehouse, Al Quoz 4",+97143476601,,all families
Home-decor retailer,Michael Andrews Design LLC,Al Quoz Indl Area 2,+97143395946,,all families
Home-decor retailer,Michel Nachef Decor,,+97126390280,,all families
Home-decor retailer,Midas Interior Decor and Electromechanical Works LLC,,+97142511324,,all families
Home-decor retailer,Midland Group,"1810, Churchill Tower, Business Bay",+97142699975,,all families
Home-decor retailer,Milano Woods & Interior Design,,+971544712201,,all families
Home-decor retailer,Milestone Exhibitions LLC,"Bhnd Galadari Driving School, Al Quoz Indl Area 4",+97142582082,,all families
Home-decor retailer,Millwud Interiors,Al Qusais Indl Area,+97143394779,,all families
Home-decor retailer,Min Ayn,"Unit No. 3795, Level No. 1, Jewelry and Gemplex 3, DMCC Business Center",+971543062010,,all families
Home-decor retailer,Ministry Design LLC,"2nd I/Change, Al Quoz",+97143390858,,all families
Home-decor retailer,Misbah Al Noor Technical Service LLC,"13th Floor, Burjuman Business Centre",+971557521369,,all families
Home-decor retailer,Mobile Contracting LLC,Al Quoz 3,+97143392207,,all families
Home-decor retailer,Moda Home Interior Design LLC,Deira,+97142802751,,all families
Home-decor retailer,Modern Castle Interior Decoration LLC,Al Qusais 4,+97142207177,,all families
Home-decor retailer,Modern Decoration Company LLC,"3rd I/Change, Al Quoz",+97143470060,,all families
Home-decor retailer,Modern Design Contracting Company LLC,Sharjah,,,all families
Home-decor retailer,Modern Line Decor,"M Floor, Al Aman House, Deira",+97142955513,,all families
Home-decor retailer,Modern Mazaya General Trading LLC,Deira,+97142945745,,all families
Home-decor retailer,Modern Style Interiors,"Near Al Shirawi, Ras Al Khor",+97143330643,,all families
Home-decor retailer,Mohd. Sarfaraz Carpentry,Industrial Area 2,+971508905283,,all families
Home-decor retailer,Monogram Interiors LLC,,+97142364906,,all families
Home-decor retailer,Moon Furniture Industry,"Opp Fitwell, Al Aweer Indl Area",+97143336631,,all families
Home-decor retailer,Mostafawi Decor Est,Al Quoz 1,+97143387771,,all families
Home-decor retailer,Motif Interior Decoration LLC,"Al Quoz 2, Near Emirates Printing Press",+97143850667,,all families
Home-decor retailer,Mughal International Wood Works Factory LLC,"Bhnd City Centre, Indl Area 1",+97165328830,,all families
Home-decor retailer,Mughal Wood Works Factory LLC,"Bhnd City Centre, BMW Rd, Indl Area 1",+97165333347,,all families
Home-decor retailer,Muhammad Ijaz Ahmad Technical Services LLC,,+97143211477,,all families
Home-decor retailer,Muhammad Yousaf Decor LLC,"MY Décor Interior and Fitout Works-Ware house No-36, Al Qouz Industrial Area-03",+971555589066,,all families
Home-decor retailer,Multi Idea Interiors LLC,"209, Farnek Building, Al Quoz 1",+97143218560,,all families
Home-decor retailer,Multiline Design and Contracting LLC,"Opp Al Reyami W/House, Al Quoz Indl Area 4",+971564648091,,all families
Home-decor retailer,Muzaffar Carpentry,"Behind Al Mariah Cinema, Ziyani Area",+97126764318,,all families
Home-decor retailer,N B Technicals Services LLC,"Door No. 203, IHJAPS Bldg, Al Rostamani Street 2, Al Quoz Industrial Area 3",+97143609909,,all families
Home-decor retailer,Nad Al Sheba Furniture Ind,"Near Emirates Glass, Al Quoz",+97143479377,,all families
Home-decor retailer,Nahawi Design Interiors,"Office 1404, Al Batha Tower, Buheira Corniche Road",+97165737318,,all families
Home-decor retailer,Najib Interior Designing & Building Maintenance,Jurf 2,+97167430267,,all families
Home-decor retailer,Najmat Dubai Decor Cont LLC,"Near National Paints, Indl Area 11",,,all families
Home-decor retailer,Neo Tech Engineering LLC,"Near Al Madina S/Market, 3rd I/Change, Al Quoz",+97143412002,,all families
Home-decor retailer,New Style Interiors,"No. 8, Al Warsan 3",+97142640056,,all families
Home-decor retailer,Nitin Interiors,Al Mulla Plaza,+97142557930,,all families
Home-decor retailer,Noaf Interiors LLC,Al Quoz Indl Area 4,+97143881181,,all families
Home-decor retailer,Noaman Carpentry Workshop,New Indl Area,+97167482460,,all families
Home-decor retailer,Norway Technical Services LLC,"5M 9A, New Al Safiya Building, Abu Hail",+97142599140,,all families
Home-decor retailer,Oak Interior Decoration LLC,Al Quoz Interchange 3,+97143389321,,all families
Home-decor retailer,Obaid Al Jassim Building Contracting LLC,Jebel Ali Indl Area 1,+97148803806,,all families
Home-decor retailer,OBM Interior Decoration LLC,,+97145135860,,all families
Home-decor retailer,Occasion Interiors,"Amman Rd, Al Qusais",+97142671828,,all families
Home-decor retailer,Old Castle Interior Works LLC,"Near Galadari Signal, Qusais",+97142633351,,all families
Home-decor retailer,Olives Decor LLC,"Building #618, Opposite of Burjeel Hospital, Fatima Bint Mubarak Street",+97126718800,,all families
Home-decor retailer,Omar Ahmad Technical Services LLC,Al Quoz Mall,+97143466720,,all families
Home-decor retailer,Omar Al Mansoori Carpentry Works,Old Etisalat Office,+97172461763,,all families
Home-decor retailer,Omniya Interiors,"Bhnd Emirates ME Bank, Electra St",+97126445002,,all families
Home-decor retailer,One Touch Building Contracting LLC,Al Qouz Industrial Area 3,+97143284491,,all families
Home-decor retailer,Orax Technical General Trading LLC,"Bhnd Galadari Driving, Al Qusais",+97142586625,,all families
Home-decor retailer,Orchid Technical Cont LLC,Indl Area 2,+97165436437,,all families
Home-decor retailer,Oricon LLC,Al Qusais Indl Area 3,+97142675590,,all families
Home-decor retailer,Orient Arts Interiors LLC,"Office # 35, Al Aweer 2 Bldg., Al Ghandi Bldg. Complex, Near Belhasa Driving School, Nad Al Hamar",,,all families
Home-decor retailer,Oriental Decoration International and Contg Establishment,Dubai,+97143936575,,all families
Home-decor retailer,Oriental Dragon Technical Works,,+971551313027,,all families
Home-decor retailer,Osama Shaar Decoration,"Creekside, Deira",+97142284580,,all families
Home-decor retailer,Oscar Decoration & Interior Design LLC,,+97125559131,,all families
Home-decor retailer,Paintex Technical Services LLC,"Near Union MS, Rigga, Deira",+97142229729,,all families
Home-decor retailer,Palm Decoration LLC,"Amman St, Al Qusais",+971509962112,,all families
Home-decor retailer,Palmyra Wood Industries LLC,Al Awir Industrial Area,+97143212734,,all families
Home-decor retailer,Palymera General Maint and Decor,"Qusais Industrial 1, Opposite to Royal Image",+97142672919,,all families
Home-decor retailer,Panache Furnishing LLC,"205, Al Barsha, Al Salam Tower",+97144214532,,all families
Home-decor retailer,Panthom Completion Works And Decor LLC,Al Quoz,+97143417515,,all families
Home-decor retailer,Paradise Interior LLC,Dubai,+97143332090,,all families
Home-decor retailer,Parametric Interior Decoration LLC,Sh Zayed Road,+97143400121,,all families
Home-decor retailer,Parco Interiors LLC,,+97143388464,,all families
Home-decor retailer,Parwinder Cont and General Maint Company WLL,"Near K M Trdg, Al Salam St",+97126727256,,all families
Home-decor retailer,Patina Furniture & Decoration,"Shop 156, Old Central Market, Khalifa Rd",+97126225676,,all families
Home-decor retailer,Patterns & Crafts Furniture Ind. LLC,Ind. Area 12,+97165652542,,all families
Home-decor retailer,Pch Interior Decoration,"Al Wahda, Furniture Complex",+971501999450,,all families
Home-decor retailer,PDL Progetti Di Luso Interiors,DIP Green Community,+97148856676,,all families
Home-decor retailer,Pearl Wall Technical Services LLC,"2203, Concord Tower, Al Soufouh Rd",+97144364210,,all families
Home-decor retailer,Pecefic Interior Decoration LLC,Qusais Indl 5,,,all families
Home-decor retailer,Perfect Creations LLC,"Office No. 31, 11th Floor, M Hotel Down Town by Millenium, Business Bay",+97142438663,,all families
Home-decor retailer,Perfect Ways Interior Design,,+97142616951,,all families
Home-decor retailer,Perla Lichi Gallery LLC,Shk Zayed Rd,+97143942898,,all families
Home-decor retailer,Perspective Interior Design and Decor,"Saderat Iran Bank Bldg, Hamdan St",+97126223932,,all families
Home-decor retailer,Phoenix Interiors LLC,Ras Al Khor Indl Area 1,+97143337292,,all families
Home-decor retailer,Phoenix Star Decor Contracting And Finiki Star LLC,"Bhnd Modern Bakery, Al Quoz",+97143256464,,all families
Home-decor retailer,Phoenix Touch Furniture Factory LLC,"W/H 1-3, Near Transtech, Street 16B, Al Quoz 4",+97143478070,,all families
Home-decor retailer,Pink Line Wood Works LLC,,+97143406378,,all families
Home-decor retailer,Pinnacle Interiors LLC,,+97143466051,,all families
Home-decor retailer,Pioneers Building & Interior Decoration LLC,"Dusseldorf Business Centre, Al Barsha 1",+97144468420,,all families
Home-decor retailer,Planet Interiors LLC,"806, Al Itihad Building, Port Saeed, Deira",+97142955654,,all families
Home-decor retailer,Planet Star Interiors LLC,,+97142955654,,all families
Home-decor retailer,Planets Gypsum & Decoration Company LLC,"Al Marzouki Tower (CG Mall), King Faisal Street",+971504826488,,all families
Home-decor retailer,Polygon Engineering Works,"M 15, Mussafah",+97125548460,,all families
Home-decor retailer,Potential Design Furnishing Cont & Decor,,+97126278778,,all families
Home-decor retailer,Premier Art Decor Works LLC,"M 03, Arcade Bldg, Al Garhoud",+97142830559,,all families
Home-decor retailer,Premier Interiors LLC,,+97144204718,,all families
Home-decor retailer,Presidential House Decoration,"705, Al Attar Tower, Sh Zayed Rd",+97143219719,,all families
Home-decor retailer,Prestige Furniture Factory LLC,"Near Natl Paints, Indl Area 11",+97165346560,,all families
Home-decor retailer,Pride Interiors LLC Abu Dhabi,Muroor Rd,,,all families
Home-decor retailer,Prime Decor LLC,"Near Mermaid Bldg, Khalidiya",+97126658849,,all families
Home-decor retailer,Prime Line Interiors,"M 2, Mussafah",+97125548998,,all families
Home-decor retailer,Prodec Interior Decoration LLC,"Near Marina Furniture, Indl Area 4, Al Quoz",+97143937234,,all families
Home-decor retailer,Professional Acrylic (MEGPE) LLC,"W/H 7, Beside Old Grand Mall, Opp Al Khail Mall, Al Quoz",+97143395441,,all families
Home-decor retailer,Professional Craft Decoration,,+97142675154,,all families
Home-decor retailer,Professional Gate Technical Services,,+97148244993,,all families
Home-decor retailer,Professional Shine Technical Service LLC,"Naif, Deira",+971558837637,,all families
Home-decor retailer,Property Care General Maintenance LLC,"Al Khattal W/Housing Complex 7, Bhnd VW S/Room, Al Quoz 1",+97143395661,,all families
Home-decor retailer,Provision Building Contracting LLC,Al Jurf Industrial Area 2,+97167435335,,all families
Home-decor retailer,Pure Enterprises LLC,,+97142857466,,all families
Home-decor retailer,Qamar Al Sanaiyah Tech Cont,,+971503805619,,all families
Home-decor retailer,Quadros Intl LLC,Shk Zayed Rd,+97143386658,,all families
Home-decor retailer,Quick Step Technical Services LLC,"Office 32, Al Nabooh Bldg, Al Quoz 3",+97143387959,,all families
Home-decor retailer,R N D Interiors LLC,"Near Khaleej Times, Al Quoz",+97143796175,,all families
Home-decor retailer,Rashid Salem Carpentry,"Bhnd Lulu Centre, Salam St",+97126710584,,all families
Home-decor retailer,Rawaat Construction Company LLC,"Office 8, Al Habtoor W/Houses, Al Ghusais Indl Area 3",+97142589114,,all families
Home-decor retailer,Ray Fitout Interior Decoration LLC,"Plot 2, Industrial Area 5, Qusais",+97142633392,,all families
Home-decor retailer,Rectangle Interiors,"Level 36, Sheraton Grand, Trade Center First, Sheikh Zayed Road",+971505357999,,all families
Home-decor retailer,Reem Star Contracting LLC,"Damascus St, Al Qusais",+97142809424,,all families
Home-decor retailer,Reference Interiors,"M Floor, Block 'A', Al Kazim Bldg, Garhoud",,,all families
Home-decor retailer,Regency General Maintanence,"Opp to Palm Beach Hotel, 2nd Floor",+97143934333,,all families
Home-decor retailer,Regency Interiors LLC,"Near Arab Media Group, Al Quoz Indl Area 3",+97143412821,,all families
Home-decor retailer,Rehab Technical Works LLC,Ras Al Khor,+971509842204,,all families
Home-decor retailer,Reproman Advertising LLC,"Ras Al Khor Industrial Area, Al Aweer",+97143207732,,all families
Home-decor retailer,Resonance Interior Decoration LLC,Al Qusais,+97142610010,,all families
Home-decor retailer,Retouche Trading LLC,"Opp Oman Ins, Salahuddin Rd, Deira",+97142667141,,all families
Home-decor retailer,Richa Furniture Exhibition LLC,"Bhnd Toyota S/Room, Al Wahda St, Indl Area 4",+97165322775,,all families
Home-decor retailer,Richline Decor LLC,Dubai,+97142671000,,all families
Home-decor retailer,Ridge Hills Construction LLC,,+97126442200,,all families
Home-decor retailer,RNK Interiors LLC,"3, Al Quoz Indl Area 4",+97143413755,,all families
Home-decor retailer,Roaa Dubai Decor LLC,"Halab St, Al Qusais Indl Area 1",+97142676880,,all families
Home-decor retailer,Rochana Technical Services LLC,Al Quoz,+97143805177,,all families
Home-decor retailer,Royal Art Decor,"Opp Geco R/A, Indl Area 6",+97165437111,,all families
Home-decor retailer,Royal Color Decoration,,+97125516168,,all families
Home-decor retailer,Royal House Building Material Trading LLC,"Near Fairooz Trdg, Bhnd Mount Royal Hotel, Deira",+97142213636,,all families
Home-decor retailer,Royal Rich Interiors,"304, Offices Land Bldg, Next to Sana Fashion, Karama",+97143367476,,all families
Home-decor retailer,Royal Star Technical Services LLC,Al Quoz,+97143387128,,all families
Home-decor retailer,Royal Talent Interior Decor Company LLC,Deira,+97142953636,,all families
Home-decor retailer,Rukn Al Bahar Carpentry LLC,Ind Area 2,+971526830788,,all families
Home-decor retailer,S3T Koncepts,"Warehouse 1, Plot 389, Al Quoz 4",,,all families
Home-decor retailer,SAA Line Interior Decoration LLC,Al Jadaf,+97142980017,,all families
Home-decor retailer,Sadeco Decoration Company LLC,"Near Dnata, Al Ittihad Rd, Deira",+97142623131,,all families
Home-decor retailer,Saeed Saif Decor LLC,"Beside Municipality Used Car Complex, Ras Al Khor Industrial Area, Aweer",+97142854007,,all families
Home-decor retailer,Safari Decor,Al Ghusais Indl Area 3,+97142671675,,all families
Home-decor retailer,Sahara Gypsum Products Ind LLC,,+971552507576,,all families
Home-decor retailer,Salah Interiors LLC,Umm Hureir Rd,+97143400658,,all families
Home-decor retailer,Samaya Decor And Facilities Management LLC,"Villa No. 161, Ma Silwan Street, Opposite of Seha Medical Centre, Al Karama",+97124469022,,all families
Home-decor retailer,SAP Interior Decors And Fitout Contracting Company,,+971545117182,,all families
Home-decor retailer,Satco Interiors,"Bhnd Sedana Trdg Co, BMW Rd, Indl Area 2",+97165333717,,all families
Home-decor retailer,Savewise FZE,Dubai,+971554711445,,all families
Home-decor retailer,Scale Interior Design and Decor,"M 9, Mussafah",+97125554744,,all families
Home-decor retailer,Scale Structure Interior Decoration LLC,Deira,+97142522603,,all families
Home-decor retailer,Schemes LLC,"3 & 4, Zabeel House Bldg, Zabeel Rd",+97143346966,,all families
Home-decor retailer,Scilla Interiors LLC,"2410, Churchill Tower, Business Bay",+97144326149,,all families
Home-decor retailer,Scratch Interior Decoration,,+97148861071,,all families
Home-decor retailer,Seasons Turnkey Project Supplies LLC,"27, Zabeel Bldg, Zabeel Rd, Al Karama",+97143379503,,all families
Home-decor retailer,Secon Emirates General Maint,"105, Al Dar Studio Bldg, Near Eldorado Cinema, Electra Rd",+97126784102,,all families
Home-decor retailer,Sections Interiors LLC,"Near Dewa Power St, Al Qusais 3",+97142677091,,all families
Home-decor retailer,Sedar Decor Factory Limited,Tourist Club Road,+97126784411,,all families
Home-decor retailer,Sense Me Interiors LLC,,+97142352008,,all families
Home-decor retailer,SFX Interior Decor LLC,"1804, 18th Floor, Metropolis Tower, Business Bay",+97142776990,,all families
Home-decor retailer,Shaddan Group,"Shaddan Group Bldg, Delma St & Airport Rd",+97126412500,,all families
Home-decor retailer,Shafiq Interiors LLC,New Industrial Area,+971502121164,,all families
Home-decor retailer,Shamma Decor,"Caterpillar Rd, Indl Area 2",+97165333066,,all families
Home-decor retailer,Sheeba Interiors LLC,"3rd I/Change, Al Quoz Indl Area",+97143393661,,all families
Home-decor retailer,Shezer Woodwork and Interior Decor Acc LLC,"Ras Al Khor Rd, Al Aweer Indl Area",+97143333834,,all families
Home-decor retailer,Shining Diamond Building Material Trading,Indl Area 11,+97165347074,,all families
