Type,Product,Company/Buyer,Country,City,Phone,Website,Detail
GE venue,Rubber tiles (buyer),სტადიონი მარაკანა,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),"სოხუმის ""ცხუმის"" საწვრთნელი ბაზა",GE,,,,sports pitch
GE venue,Rubber tiles (buyer),ბენდელას სტადიონი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),"""ლელო"" არენა",GE,,,,sports pitch
GE venue,Rubber tiles (buyer),ლისის სტადიონი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),"Астадион ""Динамо""",GE,Аҟәа,,,sports pitch
GE venue,Rubber tiles (buyer),Nabaki Stadium,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),Стадион села Араду (Stadium of Aradu),GE,,,,sports pitch
GE venue,Rubber tiles (buyer),გურია ლანჩხუთი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),როლანდი ისონიას სახელობის სტადიონი (Rolandi Isonia Stadium),GE,,,,sports pitch
GE venue,Rubber tiles (buyer),ორსანტიის ფეხბურთის მოედანი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),ჯონი ბაკურიძის სტადიონი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),Теннисный клуб Гагрский,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),სტადიონი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),ვაკის პარკის კორტები,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),სპორტსქეიფი პადელი,GE,,,https://sportscape.ge,sports pitch
GE venue,Rubber tiles (buyer),"""ენგურის"" მოედანი",GE,,,,sports pitch
GE venue,Rubber tiles (buyer),გივი ჩოხელის სტადიონი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),IBSU - Soccer field,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),ტოლდოს სტადიონი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),Snow Park,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),სამტრედიის იპოდრომი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),დავით პეტრიაშვილის სტადიონი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),ძველი ორხევის სტადიონი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),FC Sioni Bolnisi,GE,ბოლნისი (Bolnisi),+995 598 51 06 17,http://www.fcsionibolnisi.com,sports pitch
GE venue,Rubber tiles (buyer),პარკ არენა,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),დინამო,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),მოედანი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),ძველი სპორტული მოედანი,GE,,,,sports pitch
GE venue,Rubber tiles (buyer),Solo_Tu,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Adidas,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ლიდერი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),სპორტ X,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ოლიმპი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),World Sport,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Ikasport,GE,,,,sports shop
GE venue,Rubber tiles (buyer),მსოფლიო ჩემპიონი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ჩემპიონი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Aspria Fitness,GE,,+995 32 222 22 38,https://Aspria.ge,sports shop
GE venue,Rubber tiles (buyer),რიბოკი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ნაიკი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ადიდასი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),"Спортивное питание ""Геркулес""",GE,,,,sports shop
GE venue,Rubber tiles (buyer),Спортмастер,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ჯომა,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Sportuli botasebi tuflebi,GE,,+995 593 18 01 40,https://www.facebook.com/New-style-654256704642634/,sports shop
GE venue,Rubber tiles (buyer),Sportmaster,GE,,+995 591 23 83 88,https://sportmaster.ge,sports shop
GE venue,Rubber tiles (buyer),Billiard club,GE,,,,sports shop
GE venue,Rubber tiles (buyer),დელტა სპორტი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Macro Sports,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ჯეო სპორტი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ჯიელ სპორტი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),აჯარა პიკ,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ესფიიქს,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Day on Water,GE,,+995 591 00 55 06,https://day-on.ge/,sports shop
GE venue,Rubber tiles (buyer),ტექნოჯიმ,GE,,,,sports shop
GE venue,Rubber tiles (buyer),იმპულსი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Margo Skateshop,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Товары для спорта,GE,,,https://www.facebook.com/SportsShopBatumi,sports shop
GE venue,Rubber tiles (buyer),ტოპსპორტი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Fitness House,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ბალანსი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ჯასსპორტი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),კორნერი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Top Sport,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Jas Sport,GE,,,,sports shop
GE venue,Rubber tiles (buyer),კემპი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),NeedShop,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Toxigen Board Shop,GE,თბილისი,+995 592 18 96 79,https://toxigenlongboards.wixsite.com/shop,sports shop
GE venue,Rubber tiles (buyer),Open24/7,GE,,+995 599 10 02 91,,sports shop
GE venue,Rubber tiles (buyer),Geo Home Skate Shop,GE,თბილისი,+995 599 10 02 91,,sports shop
GE venue,Rubber tiles (buyer),Fitness Frau,GE,,,,sports shop
GE venue,Rubber tiles (buyer),ლიგა,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Sportland,GE,,,,sports shop
GE venue,Rubber tiles (buyer),Runfit,GE,,+995 571 15 54 65,,sports shop
GE venue,Rubber tiles (buyer),ბურუსპორტი,GE,,,,sports shop
GE venue,Rubber tiles (buyer),გოუ სპორტი,GE,,,https://go-sport.ge/,sports shop
Regional RFQ,Cold asphalt (bagged cold-mix),Rizwan is looking for suppliers of road bitumen,KW,"al-Farwaniyah, al-Farwaniyah",,,13 July 2026
Regional RFQ,Cold asphalt (bagged cold-mix),Yousif Aldarmaki is looking for suppliers of Onduline Color Coated Bitumen Sheet,AE,"Abu Dhabi, Abu Zabi",,,16 June 2026
UAE supplier,Rubber tiles (gym / outdoor),Global Rubber Industry LLC,AE,,+97165270515,,"Warehouse 34, Al Jurf 2"
UAE supplier,Rubber tiles (gym / outdoor),Techno Flex Rubber Industries LLC,AE,,+97165290563,,"Shed No.14, New Industrial Area 2"
UAE supplier,Rubber tiles (gym / outdoor),Elji International LLC,AE,,+97165752180,,"M-01, HSBC Bldg, Opp Emax, King Faizal Rd"
UAE supplier,Rubber tiles (gym / outdoor),Arabian Rubber Industries LLC,AE,,+97167647026,,New Industrial Area
UAE supplier,Rubber tiles (gym / outdoor),Noor Jeddah Rubber Trading LLC,AE,Dubai,+971506296817,,"02, Hitoof -3, Al Suq Al Kabeer, Bur Dubai"
UAE supplier,Rubber tiles (gym / outdoor),Golden Sky Rubber Products Tr,AE,,+97165321559,,"Office 4, 528 Building, E311, Industrial Area, Muweilah 6"
UAE supplier,Rubber tiles (gym / outdoor),Urban Terrain Sports Equipments LLC,AE,,+97142632332,,"605, Block A, Abraj Al Mamzar, Al Mamzar"
UAE supplier,Rubber tiles (gym / outdoor),MV Rubbers FZE,AE,,,,"Office-333, A4 Building, Rak Amenity Center, Al Jazeera Al Hamra Free Zone"
UAE supplier,Rubber tiles (gym / outdoor),Risala Interiors and Furniture LLC,AE,,+971567772414,,"Office 5, 9-24A Street, Al Quoz Industrial Area 1"
UAE supplier,Rubber tiles (gym / outdoor),QCON General Trading LLC,AE,,+971564090966,,"318th Almidan Road, Next to Al Ahli Driving Center, Al Quoz Industrial Area 4"
UAE supplier,Rubber tiles (gym / outdoor),Al Jazera Sport Equipment Trading LLC,AE,,+97165798459,,"Plot no : 477-0, Bushra Obaid Mohamed al Mansoori, Naif Road, Deira"
UAE supplier,Rubber tiles (gym / outdoor),EMCC Company LLC,AE,,+97126767225,,"1504, HE Sh Sultan Bin Suroor Al Dhaheri Office Tower, Salam S"
UAE supplier,Rubber tiles (gym / outdoor),Ismat Technical Trading LLC,AE,,+971501279785,,"Office 3, M 9, Mussafah"
UAE supplier,Rubber tiles (gym / outdoor),Speciality Industries LLC (Flooring Division),AE,,+97148802928,,Jebel Ali Industrial Area 2
UAE supplier,Rubber tiles (gym / outdoor),Ace Floor Decoration Design LLC,AE,,+971521751737,,"2107, 21st Floor, Iris Bay Tower, Near Business Bay Metro Station, Business Bay"
UAE supplier,Rubber tiles (gym / outdoor),Al Bustan Sports Equipment Tr LLC,AE,,+97165537048,,
UAE supplier,Rubber tiles (gym / outdoor),Basil Modern Floors And Walls LLC,AE,,+971564687234,,"5a Street, Al Qusais Industrial Area 2"
UAE supplier,Rubber tiles (gym / outdoor),Buildcore Building Materials,AE,,+971502175400,,
UAE supplier,Rubber tiles (gym / outdoor),Dinncon for Building Material Trading,AE,,+97143392990,,"Off 03, Floor 25, Aspin Commercial Tower, Sheikh Zayed Road, Trade Centre 1"
UAE supplier,Rubber tiles (gym / outdoor),Empire Sarmad General Trading,AE,,+97145645848,,Al Barsha Heights
UAE supplier,Rubber tiles (gym / outdoor),High Home for Technical Services (Sports Flooring),AE,,,,"Office 307, Better Homes, Airport Road"
UAE supplier,Rubber tiles (gym / outdoor),Lush Loom Carpets Curtains,AE,,+97145707351,,"Office Number 4, Al Refaee Residence"
UAE supplier,Rubber tiles (gym / outdoor),Mister Shade ME,AE,,+97165578980,,"Q3-45, SAIF Zone"
UAE supplier,Rubber tiles (gym / outdoor),Prime Stone Technical Services Co LLC,AE,,+971554672260,,"Office Number 3 -524, Al Khabaisi Building"
UAE supplier,Rubber tiles (gym / outdoor),Protect Middle East LLC,AE,,+97126126999,,"Office 1401, SJ Tower Bldg, Airport Rd"
UAE supplier,Rubber tiles (gym / outdoor),Red Magma General Trading LLC,AE,,+97142581388,,"Khansaheb Warehouse 11B1, Doha Road, Al Qusais Industrial Area 1"
UAE supplier,Rubber tiles (gym / outdoor),Woodmans Decor Cont Co LLC,AE,,,,"Showroom SL 1 & 2, Gulf Tower, Oud Metha"
UAE supplier,Rubber tiles (gym / outdoor),Prime Acoustics Building Materials Trading LLC,AE,,+97143934003,,"103, Bin Thani Building, Al Nahda Street, Al Qusais"
UAE supplier,Rubber tiles (gym / outdoor),Urban Fitness Cart Sport Equipment Trading LLC,AE,,+97143357831,,"S-12, Al Garhoud Business Center, Al Garhoud"
UAE supplier,Rubber tiles (gym / outdoor),Asterix Sports Projects and Services LLC,AE,Dubai,+971554084203,,Dubai Investments Park 2
UAE supplier,Rubber tiles (gym / outdoor),BSET Sports Equipment Trading LLC,AE,Dubai,+971505308452,,"Office 305, Near Dubai Abbaitor, Damascus Street, Al Qusais 2"
UAE supplier,Rubber tiles (gym / outdoor),Dubai Sports LLC,AE,,+97142678618,,"9, Ground Floor, Deyaar Building, Damascus St, Al Qusais"
UAE supplier,Rubber tiles (gym / outdoor),Eagle Fitness Group,AE,,+97165322336,,"Showroom No 03, Warehouses Lands, Industrial Area 18, Maleha Road"
UAE supplier,Rubber tiles (gym / outdoor),Hampton Middleeast LLC,AE,,+971502823838,,"Bin Fernas Warehouse, Al Qusais Industrial Area 3"
UAE supplier,Rubber tiles (gym / outdoor),ITMA Trading Co. LLC,AE,,+97143388058,,"F22, The Market, Green Community, DIP1"
UAE supplier,Rubber tiles (gym / outdoor),New Shersha Classic Gym Equipment LLC,AE,,+97143409077,,"Opposite Human Resource and Emiratisation, Al Qusais"
UAE supplier,Rubber tiles (gym / outdoor),Viraaj Building Materials Trading LLC,AE,,,,DIP 2
UAE supplier,Pour-in-place rubber flooring,Fortune Emirates General Trading LLC,AE,,+97165638745,,"2001, Bel Rasheed Bldg, Al Buhaira Corniche"
UAE supplier,Pour-in-place rubber flooring,Best Star Plastic Products LLC,AE,,+971565424499,,Sajja Industrial Area
UAE supplier,Pour-in-place rubber flooring,National Rubber Industry LLC,AE,,,,
UAE supplier,Pour-in-place rubber flooring,TE Global FZ LLC,AE,,,,"T2-SF-11, RAKEZ Amenity Centre, Al Shuhada' Road, Al Hamra Industrial Zone FZ"
UAE supplier,Cold asphalt (bagged cold-mix),Build Care International General Trading LLC SPC,AE,,+97124481915,,"Store No: 31, Mussafah MW 5"
UAE supplier,Cold asphalt (bagged cold-mix),Modern Seal Insulation Contracting LLC,AE,,,,Qusais Industrial Area 3
